frame,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_20,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_0,y_1,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_2,y_20,y_3,y_4,y_5,y_6,y_7,y_8,y_9
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,271.0,170.0,,,,,,,,,,,12.0,,12.0,378.0,337.0,278.0,12.0,251.0,,937.0,923.0,,,,,,,,,,,1047.0,,1142.0,967.0,1118.0,1099.0,1194.0,836.0,
137,271.0,170.0,,,,,,,,,,,12.0,,12.0,379.0,337.0,276.0,12.0,251.0,,937.0,923.0,,,,,,,,,,,1047.0,,1142.0,967.0,1118.0,1099.0,1194.0,837.0,
138,315.0,287.0,12.0,0.0,119.0,280.0,347.0,246.0,408.0,,,,186.0,,12.0,12.0,73.0,396.0,337.0,386.0,233.0,910.0,919.0,1134.0,1178.0,1183.0,858.0,873.0,827.0,900.0,,,,892.0,,1005.0,1149.0,1149.0,946.0,1118.0,1059.0,1097.0
139,314.0,287.0,233.0,12.0,0.0,120.0,280.0,347.0,246.0,408.0,,,186.0,,12.0,12.0,72.0,397.0,396.0,337.0,386.0,911.0,919.0,1096.0,1135.0,1178.0,1185.0,858.0,873.0,827.0,900.0,,,892.0,,1005.0,1149.0,1149.0,946.0,947.0,1118.0,1059.0
140,332.0,310.0,12.0,12.0,12.0,12.0,0.0,155.0,209.0,306.0,359.0,261.0,200.0,408.0,12.0,12.0,406.0,331.0,444.0,185.0,184.0,923.0,900.0,1040.0,1031.0,1201.0,1214.0,1091.0,1092.0,1145.0,888.0,897.0,830.0,875.0,895.0,1010.0,1200.0,919.0,1121.0,1027.0,885.0,886.0
141,333.0,309.0,12.0,12.0,12.0,12.0,0.0,155.0,208.0,308.0,359.0,261.0,199.0,408.0,12.0,12.0,406.0,331.0,443.0,184.0,183.0,923.0,900.0,1040.0,1030.0,1203.0,1214.0,1091.0,1092.0,1145.0,889.0,898.0,831.0,876.0,896.0,1011.0,1200.0,919.0,1121.0,1027.0,887.0,889.0
142,297.0,189.0,0.0,135.0,183.0,355.0,256.0,409.0,,,,,12.0,,12.0,402.0,332.0,250.0,12.0,12.0,12.0,910.0,889.0,1089.0,1096.0,1161.0,866.0,834.0,889.0,,,,,1036.0,,1212.0,931.0,1131.0,1085.0,1055.0,1089.0,1242.0
143,297.0,189.0,0.0,134.0,184.0,256.0,409.0,,,,,,12.0,,12.0,401.0,332.0,251.0,12.0,12.0,12.0,910.0,890.0,1089.0,1096.0,1161.0,835.0,889.0,,,,,,1036.0,,1211.0,931.0,1131.0,1084.0,1056.0,1089.0,1242.0
144,277.0,179.0,12.0,0.0,145.0,196.0,256.0,405.0,,,,,12.0,,12.0,83.0,385.0,338.0,411.0,12.0,12.0,921.0,909.0,1256.0,1090.0,1103.0,1151.0,847.0,884.0,,,,,1053.0,,1250.0,1256.0,933.0,1135.0,1064.0,1063.0,1093.0
145,277.0,179.0,12.0,0.0,144.0,196.0,254.0,405.0,,,,,12.0,,12.0,83.0,385.0,338.0,411.0,12.0,12.0,920.0,909.0,1256.0,1090.0,1103.0,1150.0,848.0,883.0,,,,,1053.0,,1250.0,1256.0,933.0,1135.0,1064.0,1063.0,1093.0
146,280.0,177.0,0.0,93.0,187.0,202.0,213.0,407.0,,,,,12.0,,0.0,93.0,398.0,342.0,248.0,12.0,12.0,920.0,910.0,1274.0,1283.0,1089.0,1128.0,845.0,896.0,,,,,1068.0,,1255.0,1262.0,938.0,1132.0,1094.0,1064.0,1086.0
147,280.0,177.0,0.0,93.0,187.0,202.0,214.0,407.0,,,,,12.0,,0.0,93.0,398.0,342.0,248.0,12.0,12.0,920.0,910.0,1274.0,1283.0,1089.0,1127.0,845.0,895.0,,,,,1068.0,,1256.0,1262.0,937.0,1132.0,1094.0,1063.0,1086.0
148,12.0,0.0,,,,,,,,,,,112.0,,,,,,,,,1074.0,1303.0,,,,,,,,,,,1311.0,,,,,,,,
149,12.0,0.0,,,,,,,,,,,112.0,,,,,,,,,1074.0,1303.0,,,,,,,,,,,1311.0,,,,,,,,
150,12.0,12.0,,,,,,,,,,,0.0,,130.0,131.0,,,,,,1087.0,1078.0,,,,,,,,,,,1312.0,,1320.0,1292.0,,,,,
151,281.0,12.0,,,,,,,,,,,12.0,,0.0,130.0,131.0,,,,,905.0,1087.0,,,,,,,,,,,1078.0,,1312.0,1320.0,1290.0,,,,
152,274.0,197.0,,,,,,,,,,,12.0,,166.0,396.0,185.0,,,,,917.0,929.0,,,,,,,,,,,1112.0,,1330.0,1037.0,1307.0,,,,
153,271.0,197.0,,,,,,,,,,,12.0,,166.0,358.0,398.0,185.0,,,,917.0,929.0,,,,,,,,,,,1112.0,,1330.0,1099.0,1038.0,1307.0,,,
154,281.0,280.0,272.0,125.0,0.0,111.0,200.0,329.0,338.0,234.0,,,194.0,,81.0,12.0,196.0,393.0,398.0,403.0,402.0,901.0,902.0,1145.0,1067.0,1144.0,1145.0,1320.0,1017.0,1132.0,836.0,,,924.0,,1132.0,1134.0,1338.0,866.0,1104.0,1021.0,1022.0
155,281.0,194.0,125.0,0.0,111.0,200.0,330.0,329.0,339.0,235.0,,,81.0,,12.0,196.0,394.0,398.0,406.0,405.0,271.0,902.0,924.0,1066.0,1144.0,1145.0,1321.0,1015.0,1016.0,1132.0,836.0,,,1132.0,,1134.0,1337.0,866.0,1105.0,1019.0,1020.0,1145.0
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,278.0,197.0,258.0,272.0,238.0,,,,,,,,104.0,,0.0,247.0,386.0,395.0,422.0,0.0,142.0,913.0,945.0,1146.0,855.0,847.0,,,,,,,,1126.0,,1132.0,1341.0,865.0,1092.0,1033.0,1168.0,1168.0
159,278.0,197.0,257.0,272.0,238.0,,,,,,,,104.0,,0.0,247.0,386.0,396.0,423.0,0.0,143.0,913.0,945.0,1147.0,855.0,847.0,,,,,,,,1126.0,,1132.0,1341.0,867.0,1094.0,1032.0,1168.0,1169.0
160,284.0,120.0,,,,,,,,,,,240.0,,,,,,,,,894.0,1126.0,,,,,,,,,,,1319.0,,,,,,,,
161,121.0,240.0,,,,,,,,,,,,,,,,,,,,1127.0,1320.0,,,,,,,,,,,,,,,,,,,
162,300.0,218.0,,,,,,,,,,,0.0,,135.0,250.0,410.0,409.0,466.0,369.0,236.0,901.0,936.0,,,,,,,,,,,1136.0,,1139.0,1314.0,853.0,1111.0,1005.0,1170.0,835.0
163,300.0,219.0,,,,,,,,,,,0.0,,136.0,250.0,411.0,409.0,465.0,369.0,235.0,900.0,936.0,,,,,,,,,,,1135.0,,1138.0,1314.0,851.0,1112.0,1005.0,1170.0,836.0
164,297.0,234.0,,,,,,,,,,,0.0,,142.0,256.0,458.0,,,,,885.0,931.0,,,,,,,,,,,1117.0,,1124.0,1309.0,1016.0,,,,
165,297.0,234.0,,,,,,,,,,,0.0,,142.0,256.0,458.0,,,,,885.0,931.0,,,,,,,,,,,1117.0,,1124.0,1309.0,1017.0,,,,
166,300.0,233.0,,,,,,,,,,,150.0,,258.0,,,,,,,892.0,937.0,,,,,,,,,,,1130.0,,1309.0,,,,,,
167,300.0,231.0,,,,,,,,,,,150.0,,258.0,,,,,,,892.0,937.0,,,,,,,,,,,1130.0,,1309.0,,,,,,
168,317.0,220.0,265.0,401.0,420.0,430.0,232.0,,,,,,0.0,,153.0,256.0,425.0,463.0,491.0,271.0,207.0,867.0,926.0,1304.0,985.0,1091.0,1123.0,843.0,,,,,,1106.0,,1109.0,1299.0,803.0,916.0,959.0,1023.0,1127.0
169,317.0,220.0,206.0,265.0,401.0,420.0,429.0,232.0,,,,,0.0,,152.0,153.0,256.0,426.0,463.0,491.0,272.0,867.0,926.0,1126.0,1304.0,985.0,1091.0,1123.0,843.0,,,,,1106.0,,1108.0,1109.0,1299.0,803.0,915.0,959.0,1023.0
170,288.0,210.0,,,,,,,,,,,172.0,,253.0,402.0,,,,,,880.0,937.0,,,,,,,,,,,1117.0,,1290.0,800.0,,,,,
171,287.0,209.0,,,,,,,,,,,172.0,,253.0,,,,,,,881.0,938.0,,,,,,,,,,,1117.0,,1289.0,,,,,,
172,317.0,236.0,246.0,,,,,,,,,,183.0,,254.0,426.0,473.0,490.0,313.0,412.0,449.0,862.0,921.0,832.0,,,,,,,,,,1095.0,,1272.0,797.0,881.0,949.0,1032.0,978.0,1105.0
173,317.0,235.0,245.0,,,,,,,,,,183.0,,254.0,425.0,473.0,490.0,313.0,412.0,449.0,861.0,921.0,833.0,,,,,,,,,,1094.0,,1272.0,796.0,881.0,949.0,1031.0,976.0,1105.0
174,320.0,220.0,408.0,433.0,456.0,249.0,370.0,369.0,,,,,181.0,,256.0,421.0,466.0,501.0,267.0,197.0,275.0,837.0,889.0,946.0,1058.0,1156.0,835.0,781.0,782.0,,,,,1083.0,,1258.0,765.0,845.0,936.0,966.0,1087.0,1268.0
175,320.0,221.0,408.0,433.0,456.0,249.0,369.0,,,,,,181.0,,256.0,421.0,466.0,501.0,268.0,197.0,275.0,836.0,889.0,946.0,1058.0,1157.0,835.0,781.0,,,,,,1083.0,,1259.0,765.0,844.0,936.0,966.0,1087.0,1268.0
176,312.0,209.0,446.0,,,,,,,,,,183.0,,258.0,421.0,461.0,491.0,274.0,401.0,417.0,882.0,941.0,1118.0,,,,,,,,,,1086.0,,1246.0,823.0,936.0,945.0,1061.0,998.0,999.0
177,312.0,209.0,446.0,,,,,,,,,,183.0,,258.0,422.0,461.0,492.0,272.0,401.0,417.0,883.0,941.0,1118.0,,,,,,,,,,1086.0,,1246.0,823.0,936.0,945.0,1060.0,997.0,1000.0
178,314.0,212.0,,,,,,,,,,,183.0,,250.0,426.0,473.0,503.0,269.0,407.0,442.0,872.0,930.0,,,,,,,,,,,1064.0,,1217.0,817.0,891.0,939.0,1038.0,993.0,1106.0
179,313.0,211.0,,,,,,,,,,,183.0,,250.0,425.0,471.0,501.0,269.0,408.0,436.0,872.0,931.0,,,,,,,,,,,1064.0,,1217.0,818.0,896.0,938.0,1043.0,996.0,1101.0
180,320.0,231.0,,,,,,,,,,,180.0,,248.0,413.0,476.0,506.0,296.0,408.0,,866.0,928.0,,,,,,,,,,,1030.0,,1197.0,788.0,866.0,931.0,1038.0,975.0,
181,320.0,231.0,,,,,,,,,,,180.0,,248.0,414.0,477.0,507.0,292.0,293.0,408.0,866.0,927.0,,,,,,,,,,,1030.0,,1197.0,788.0,866.0,931.0,1033.0,1034.0,974.0
182,325.0,231.0,398.0,418.0,500.0,315.0,,,,,,,188.0,,242.0,424.0,480.0,538.0,276.0,201.0,327.0,851.0,895.0,956.0,1069.0,1134.0,836.0,,,,,,,1014.0,,1163.0,788.0,865.0,938.0,984.0,1026.0,1156.0
183,325.0,230.0,398.0,419.0,501.0,316.0,,,,,,,188.0,,242.0,424.0,480.0,538.0,276.0,201.0,326.0,851.0,894.0,955.0,1069.0,1135.0,836.0,,,,,,,1014.0,,1163.0,788.0,865.0,938.0,984.0,1026.0,1156.0
184,309.0,195.0,,,,,,,,,,,241.0,,249.0,,,,,,,854.0,988.0,,,,,,,,,,,1140.0,,1133.0,,,,,,
185,310.0,195.0,,,,,,,,,,,240.0,,364.0,249.0,,,,,,852.0,988.0,,,,,,,,,,,1140.0,,963.0,1133.0,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
